id,name,unit,region_name,indicator_topic,indicator_source,indicator_name,indicator_group,url,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
CV,Cape Verde,Current US$,West Africa,National Account,AfDB Data portal,GDP (current US$),Social and Economic,/aep/country/cape-verde,654636352.0,654531456.0,713559360.0,944136192.0,1073627392.0,1119797632.0,1261287040.0,1513039616.0,1787968000.0,1697736960.0,1663913344.0,1865918080.0,1741810688.0,1850470016.0,1859898496.0,1596800384.0,1663008512.0,1769786496.0,1966501504.0,1981846144.0,1706884352.0,2089237376.0,2306899200.0
CV,Cape Verde,Millions of people,West Africa,Population,AfDB Data portal,Rural population (millions of people),Social and Economic,/aep/country/cape-verde,0.202593997120857,0.202818006277084,0.20278899371624,0.202478006482124,0.201813995838165,0.200792998075485,0.199391007423401,0.197670996189117,0.19573600590229,0.193735003471375,0.191807001829147,0.191430002450943,0.191091001033783,0.190792992711067,0.190519005060196,0.190249994397163,0.190009996294975,0.189807996153831,0.18962000310421,0.189426004886627,0.1891999989748,0.188936993479729,0.188640996813774
CV,Cape Verde,Millions of people,West Africa,Population,AfDB Data portal,Urban population (millions of people),Social and Economic,/aep/country/cape-verde,0.232484996318817,0.240897998213768,0.24931700527668,0.257669001817703,0.265850007534027,0.273773998022079,0.281403988599777,0.288767009973526,0.295987010002136,0.303227990865707,0.310577005147934,0.316637009382248,0.322887986898422,0.329313009977341,0.335918009281158,0.342662990093231,0.349550008773804,0.35657998919487,0.363714993000031,0.370923012495041,0.37814798951149,0.385374993085861,0.392605990171433
DJ,Djibouti,Current US$,East Africa,National Account,AfDB Data portal,GDP (current US$),Social and Economic,/aep/country/djibouti,555896256.0,577493248.0,596171136.0,627553600.0,666206976.0,708638080.0,768645632.0,847720768.0,976204288.0,1013228608.0,1066964480.0,1155260160.0,1899953792.0,2041008128.0,2210982400.0,2439649792.0,2612386816.0,2760405248.0,3006448384.0,3346266624.0,3439800832.0,3530186240.0,3713700608.0
DJ,Djibouti,Millions of people,East Africa,Population,AfDB Data portal,Rural population (millions of people),Social and Economic,/aep/country/djibouti,0.168405994772911,0.17161799967289,0.174438998103142,0.176988005638123,0.179464995861053,0.182017996907234,0.184662997722626,0.187353000044823,0.190108999609947,0.19294099509716,0.195769995450974,0.198612004518509,0.201455995440483,0.204251006245613,0.206928998231888,0.209442004561424,0.211763992905617,0.21390600502491,0.215874999761581,0.217688992619514,0.219361007213593,0.220887005329132,0.222257003188133
DJ,Djibouti,Millions of people,East Africa,Population,AfDB Data portal,Urban population (millions of people),Social and Economic,/aep/country/djibouti,0.549178004264832,0.561092972755432,0.571781992912292,0.581627011299133,0.591287016868591,0.60123598575592,0.611545026302338,0.62204897403717,0.632825016975403,0.643899023532867,0.655376017093658,0.667325019836426,0.679728984832764,0.692436993122101,0.705235004425049,0.717971980571747,0.730569005012512,0.743079006671906,0.75553297996521,0.768001019954681,0.780538022518158,0.793138027191162,0.805773973464966
DZ,Algeria,Current US$,North Africa,National Account,AfDB Data portal,GDP (current US$),Social and Economic,/aep/country/algeria,53885665280.0,54744711168.0,56760356864.0,67863830528.0,85327011840.0,103198212096.0,117027274752.0,134977085440.0,171000692736.0,137053503488.0,161207304192.0,200250228736.0,209016127488.0,209754996736.0,213809987584.0,165979111424.0,160034209792.0,170206986240.0,174863515648.0,171679711232.0,144921608192.0,160315654144.0,169557917696.0
DZ,Algeria,Millions of people,North Africa,Population,AfDB Data portal,Rural population (millions of people),Social and Economic,/aep/country/algeria,12.4988470077515,12.4119396209717,12.3178472518921,12.2214431762695,12.12744140625,12.040491104126,11.9599027633667,11.8856925964355,11.8189487457275,11.7653388977051,11.7239408493042,11.6954765319824,11.6775016784668,11.6640300750732,11.647650718689,11.6232805252075,11.5895366668701,11.547532081604,11.4980382919312,11.4425868988037,11.382345199585,11.317455291748,11.2477531433105
DZ,Algeria,Millions of people,North Africa,Population,AfDB Data portal,Urban population (millions of people),Social and Economic,/aep/country/algeria,18.6848125457764,19.1802139282227,19.6771984100342,20.182071685791,20.7036552429199,21.2479457855225,21.8180122375488,22.4143829345703,23.0417652130127,23.7004203796387,24.3936958312988,25.124080657959,25.8883457183838,26.6745319366455,27.4656620025635,28.2482471466064,29.0165157318115,29.7706108093262,30.5100154876709,31.2364311218262,31.9509105682373,32.6518478393555,33.3367156982422
EG,Egypt,Current US$,North Africa,National Account,AfDB Data portal,GDP (current US$),Social and Economic,/aep/country/egypt,100051222528.0,90284417024.0,84206239744.0,71356850176.0,78321672192.0,93184901120.0,110061338624.0,132163747840.0,164841226240.0,187986296832.0,214623305728.0,237443055616.0,275755630592.0,285433036800.0,305567006720.0,332076023808.0,332488343552.0,236531351552.0,250252836864.0,302334771200.0,364022595584.0,381251911680.0,419988275200.0
EG,Egypt,Millions of people,North Africa,Population,AfDB Data portal,Rural population (millions of people),Social and Economic,/aep/country/egypt,39.9886665344238,40.7115135192871,41.457202911377,42.2179756164551,42.9820442199707,43.7427940368652,44.4934616088867,45.2744674682617,46.0965881347656,46.9730453491211,47.9250106811523,48.9616088867188,50.1007652282715,51.2866477966309,52.4809837341309,53.654842376709,54.7993125915527,55.8934059143066,56.9382133483887,57.9392471313477,58.9004325866699,59.8193588256836,60.6919288635254
EG,Egypt,Millions of people,North Africa,Population,AfDB Data portal,Urban population (millions of people),Social and Economic,/aep/country/egypt,29.9173202514648,30.5154266357422,31.1329135894775,31.7639656066895,32.3998565673828,33.0353546142578,33.6655883789063,34.2627868652344,34.857292175293,35.4919776916504,36.1825981140137,36.9359512329102,37.7124938964844,38.5207862854004,39.3315811157227,40.1233291625977,40.8893699645996,41.6597442626953,42.4375305175781,43.2294998168945,44.0410537719727,44.8728256225586,45.7241325378418
ER,Eritrea,Current US$,East Africa,National Account,AfDB Data portal,GDP (current US$),Social and Economic,/aep/country/eritrea,706370816.0,752371712.0,729321664.0,870248320.0,1109053952.0,1098424704.0,1211161856.0,1317974528.0,1380188800.0,1856695552.0,2117039488.0,2064999936.0,2254861824.0,1957951232.0,2604234240.0,2016475520.0,2213366272.0,1903966848.0,2005658368.0,1981857024.0,2083093376.0,2270690560.0,2567610368.0
